Code,BF URL,Estate URL,Variant,Mann URL,Mann Variant,,,
PB324,https://bingleyfencing.co.uk/products/paling-boards-bradford?variant=40915337216186,https://www.estatesawmills.com/product/100mm-x-22mm/,2.4m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/100mm-x-22mm-sawn-treated-timber/,2.4 Metre (7ft 10"),,,
PB318,https://bingleyfencing.co.uk/products/paling-boards-bradford?variant=40915322208442,https://www.estatesawmills.com/product/100mm-x-22mm/,1.8m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/100mm-x-22mm-sawn-treated-timber/,1.8 Metre (5ft 11"),,,
PB315,https://bingleyfencing.co.uk/products/paling-boards-bradford?variant=40915322175674,https://www.estatesawmills.com/product/100mm-x-22mm/,1.5m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/100mm-x-22mm-sawn-treated-timber/,1.5 Metre (4ft 11"),,,
PB312,https://bingleyfencing.co.uk/products/paling-boards-bradford?variant=40915322142906,https://www.estatesawmills.com/product/100mm-x-22mm/,1.2m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/palings-featheredge/100mm-x-22mm-sawn-treated-timber/,1.2 Metre (3ft 11"),,,
P112,https://bingleyfencing.co.uk/products/fence-posts-3-x-3?variant=40915349733562,https://www.estatesawmills.com/product/75mm-x-75mm-posts/,1.2m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/75mm-x-75mm-sawn-treated-timber/,1.2 Metre (3ft 11"),,,
P115,https://bingleyfencing.co.uk/products/fence-posts-3-x-3?variant=40915349766330,https://www.estatesawmills.com/product/75mm-x-75mm-posts/,1.5m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/75mm-x-75mm-sawn-treated-timber/,1.5 Metre (4ft 11"),,,
P118,https://bingleyfencing.co.uk/products/fence-posts-3-x-3?variant=40915349799098,https://www.estatesawmills.com/product/75mm-x-75mm-posts/,1.8m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/75mm-x-75mm-sawn-treated-timber/,1.8 Metre (5ft 11"),,,
P121,https://bingleyfencing.co.uk/products/fence-posts-3-x-3?variant=40915349799098,https://www.estatesawmills.com/product/75mm-x-75mm-posts/,2.1m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/75mm-x-75mm-sawn-treated-timber/,2.1 Metre (6ft 11"),,,
P124,https://bingleyfencing.co.uk/products/fence-posts-3-x-3?variant=40915357794490,https://www.estatesawmills.com/product/75mm-x-75mm-posts/,2.4m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/75mm-x-75mm-sawn-treated-timber/,2.4 Metre (7ft 10"),,,
P236,https://bingleyfencing.co.uk/products/fence-posts-4-x-3?variant=40915364085946,https://www.estatesawmills.com/product/100mm-x-75mm-posts/,3.6m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/100mm-x-75mm-sawn-treated-timber/,3.6 Metre (11ft 10"),,,
P230,https://bingleyfencing.co.uk/products/fence-posts-4-x-3?variant=40915364053178,https://www.estatesawmills.com/product/100mm-x-75mm-posts/,3.0m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/100mm-x-75mm-sawn-treated-timber/,3.0 Metre (9ft 10"),,,
P224,https://bingleyfencing.co.uk/products/fence-posts-4-x-3?variant=40915364184250,https://www.estatesawmills.com/product/100mm-x-75mm-posts/,2.4m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/100mm-x-75mm-sawn-treated-timber/,2.4 Metre (7ft 10"),,,
P218,https://bingleyfencing.co.uk/products/fence-posts-4-x-3?variant=40915364118714,https://www.estatesawmills.com/product/100mm-x-75mm-posts/,1.8m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/100mm-x-75mm-sawn-treated-timber/,1.8 Metre (5ft 11"),,,
P336,https://bingleyfencing.co.uk/products/fence-posts-4-x-4?variant=40915374768314,https://www.estatesawmills.com/product/100mm-x-100mm-fence-posts/,3.6m,https://www.manninghamconcrete.co.uk/fencing-decking/fencing/fence-posts/100mm-x-100mm-sawn-treated-timber/,3.6 Metre (11ft 10"),,,
